"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202208","3호선","매봉","12","0","1617","575","6846","9408","15798","21937","19885","72079","13585","33393","11283","14672","11357","12063","11778","11736","12762","11694","14537","10650","16897","11431","20096","12358","37341","17237","63999","23108","20662","15782","14009","9092","14958","7663","9807","7659","3106","4181","337","1195","0","49","0","0","0","0","20220903"
"202208","3호선","무악재","13","2","1675","275","5328","3489","13149","3016","15656","4932","9707","3065","6718","3292","6112","3206","5956","3682","5347","4105","4737","4419","4305","5515","5910","6869","6103","9347","6545","14456","2931","11525","2058","7007","1596","6439","1189","5590","429","3988","45","899","0","0","0","1","0","0","20220903"
"202208","3호선","불광","37","2","9513","1241","18582","5495","49220","10205","56666","30458","33193","26226","23932","22916","22594","21874","24113","25054","23334","27042","23258","25856","24195","27323","27009","30865","28035","36197","29763","56630","16510","44986","12711","26175","10092","22876","6494","20187","2657","12349","289","3088","1","4","0","0","0","0","20220903"
"202208","3호선","수서","191","7","4569","2637","11473","16291","32557","32790","43098","52209","28540","31519","28058","21917","23238","18407","28907","23408","26857","21249","20491","21903","30657","25732","34920","28742","41665","35489","49113","48487","22649","35699","21807","24036","14898","20758","15026","19865","5775","7396","930","2554","1","235","0","0","0","0","20220903"
"202208","3호선","신사","53","9","3715","1777","6448","17514","10586","44017","15900","102807","13536","133574","17131","67610","22441","46715","26909","45794","31066","47221","38262","43980","46786","40903","56184","42697","85276","50759","127050","65144","87078","33625","58710","15802","63667","12379","53587","9791","23770","6647","3386","2163","0","10","0","0","0","0","20220903"
"202208","3호선","안국","14","1","1812","1527","2893","20491","5722","83923","9095","101422","9369","61308","10955","45908","16790","49004","24563","43086","27838","41925","35526","38920","45692","31238","65402","27831","103929","25924","109985","24370","45536","11883","36992","6487","32255","5253","18955","4700","6147","2693","602","696","0","0","0","0","0","0","20220903"
"202208","3호선","압구정","110","5","2960","2141","7738","22757","15013","45746","22911","145320","18449","151367","23272","77520","29810","61362","35915","50906","40305","54457","47498","48056","56294","44587","68455","44217","90499","53548","141945","60486","91637","32347","71762","15643","56916","12561","43919","10451","12353","5917","1560","1798","2","211","0","0","0","0","20220903"
"202208","3호선","약수","132","3","6889","924","10388","6348","24966","12877","37162","31600","26099","20036","18179","14170","16883","14038","19160","14734","19093","15243","17712","16164","18108","17904","20401","21743","25170","26782","31840","41556","17280","26401","13204","17132","13917","15520","10399","14811","4787","8535","592","2739","0","374","0","0","0","0","20220903"
"202208","3호선","양재(서초구청)","89","1","4961","2525","14165","42590","32013","105546","42366","224599","31489","111490","28834","53203","31868","41612","34479","37553","38367","42859","41493","37447","49288","37741","63429","40041","118763","54756","188895","70735","79687","46318","55789","28926","51788","25603","35922","22720","12581","12414","1263","2985","2","33","0","0","0","0","20220903"
"202208","3호선","연신내","290","18","25972","1810","50708","10828","124350","20484","140560","34751","83024","34719","55790","33907","51833","34614","58043","38126","50415","41342","46745","42882","46615","50847","55691","62125","50207","78321","46011","132455","32605","109494","26194","62856","22804","56581","18993","50062","7765","34130","937","10089","0","19","0","0","0","0","20220903"
